X,Y,Z
-282.702,31.7869,-112.772
-284.959,28.9369,-120.45
-286.852,26.6066,-126.407
-285.275,26.3485,-127.126
-287.786,24.1791,-132.425
-288.381,25.4101,-140.538
-288.481,20.5836,-141.003
-300.203,3.23373,-135.028
-289.484,19.4777,-151.858
-291.814,16.1928,-158.147
-294.389,10.8263,-159.729
-292.594,16.3272,-179.018
-298.323,6.16271,-163.381
-299.85,1.89742,-165.403
-284.203,40.4018,-93.6638
-282.704,43.9216,-95.0993
-284.451,40.1426,-108.259
-286.338,41.8015,-109.595
-280.003,49.1865,-120.244
-287.031,34.0306,-125.631
-289.044,31.3654,-132.259
-286.739,43.8375,-137.345
-289.041,29.4806,-138.394
-289.648,29.6957,-148.699
-290.561,26.3386,-152.145
-298.094,12.739,-144.561
-293.606,19.5553,-163.54
-294.544,23.9233,-170.251
-299.936,10.7375,-161.034
-304.277,-5.32679,-149.898
-287.391,53.5168,-89.6213
-286.029,55.4549,-97.5584
-286.925,59.9745,-103.844
-289.183,47.0408,-112.293
-290.537,53.7194,-120.18
-289.888,47.5059,-128.493
-291.673,41.4334,-133.616
-292.28,45.9737,-140.563
-292.206,36.6065,-145.762
-294.823,37.7801,-146.807
-298.952,16.5815,-145.13
-293.099,32.5254,-160.571
-295.712,31.0234,-168.102
-299.01,19.2897,-171.668
-305.949,-6.19011,-165.059
-305.66,-6.11512,-177.377
-295.507,64.2897,-91.1672
-296.294,62.4244,-97.6313
-293.735,57.3407,-113.966
-298.493,64.6964,-115.336
-294.249,57.1132,-125.026
-298.661,57.96,-134.795
-300.051,57.0837,-144.576
-298.332,48.5965,-149.269
-300.762,53.7618,-156.943
-301.659,22.32,-148.745
-300.94,36.0748,-166.646
-303.94,24.3898,-162.03
-300.71,30.4569,-176.771
-304.339,9.44769,-163.807
-306.319,-3.44837,-152.675
-307.142,-4.36775,-178.221
-308.09,-11.6816,-156.263
-302.094,85.8261,-86.7288
-298.764,82.4819,-95.6483
-307.73,79.0921,-111.444
-306.012,68.6353,-121.239
-304.004,62.2665,-127
-303.801,61.0879,-131.814
-303.829,56.744,-144.43
-307.146,52.3822,-150.987
-306.496,32.8693,-149.056
-304.593,24.8517,-148.226
-306.282,27.1006,-154.353
-305.51,21.9739,-158.725
-307.13,19.2197,-163.043
-307.141,23.2452,-176.551
-305.532,15.581,-185.515
-308.092,-1.2377,-159.021
-308.215,0.27551,-181.326
-309.773,81.9782,-86.1132
-314.07,79.3013,-98.3289
-310.437,76.0476,-110.256
-312.57,87.4408,-116.978
-312.985,69.1848,-123.646
-309.137,69.9748,-132.957
-309.158,65.2935,-146.225
-311.53,52.4098,-151.326
-308.715,55.2799,-159.079
-313.189,43.5803,-162.952
-309.225,34.6385,-161.846
-309.917,21.3304,-159.227
-311.535,19.0238,-160.267
-310.428,12.3671,-166.038
-309.858,5.43284,-164.116
-309.281,0.357128,-161.094
-324.075,91.332,-92.3397
-324.045,91.3559,-104.123
-320.82,87.1952,-117.604
-318.881,71.7213,-123.428
-319.941,71.6245,-137.641
-322.253,55.6273,-142.849
-316.727,53.3245,-148.166
-317.553,52.3946,-155.521
-318.565,35.5161,-158.712
-313.536,23.1674,-154.087
-316.214,31.1649,-175.026
-311.947,6.08815,-166.247
-331.984,82.3788,-86.6572
-336.432,82.9624,-92.8025
-332.533,70.7124,-109.914
-329.773,65.9442,-119.605
-328.261,61.2009,-125.638
-327.496,57.5437,-132.244
-325.536,52.0953,-139.535
-327.705,58.8026,-147.445
-322.464,38.5936,-153.092
-323.358,38.0887,-160.962
-318.382,22.7661,-152.015
-322.061,32.149,-172.581
-316.212,16.6444,-158.225
-318.748,25.7335,-180.118
-313.322,6.057,-165.901
-341.998,68.6997,-92.0061
-337.216,72.6915,-99.3784
-346.533,73.2472,-110.372
-344.131,75.6912,-115.165
-341.431,61.3606,-128.84
-330.512,41.8376,-130.404
-331.175,45.0785,-141.678
-328.154,39.3687,-146.26
-328.154,34.5772,-150.696
-326.685,27.9826,-153.22
-325.099,22.2928,-152.99
-327.205,31.4755,-169.901
-321.744,23.01,-174.926
-318.516,7.28531,-162.398
-316.671,9.22288,-171.521
-347.756,52.8536,-95.91
-346.928,51.8312,-101.789
-336.072,41.8278,-109.821
-343.379,46.0486,-114.958
-345.621,49.4782,-126.177
-339.054,39.2308,-135.069
-340.707,41.9602,-136.841
-339.069,39.2398,-145.414
-334.417,32.0705,-151.48
-334.795,33.0283,-156.819
-325.6,22.5865,-154.797
-325.511,17.9829,-157.826
-327.758,18.3374,-168.089
-322.041,10.008,-164.819
-318.949,6.16949,-165.008
-310.494,-11.0595,-164.528
-345.892,36.8979,-89.8855
-347.301,38.3166,-100.376
-342.466,32.4542,-109.415
-346.577,38.1209,-111.585
-343.665,39.6301,-117.163
-341.68,42.031,-124.11
-341.685,41.3558,-135.637
-334.804,23.2653,-135.173
-336.509,25.5152,-143.458
-336.381,29.1185,-151.951
